Train Name,Train Number,Year,Month,Food Item,Region,Quantity Sold,Total Sale
Garib Rath,12909,2022,2,Aam Panna,Ahmedabad,10,5772.67
Suvidha Express,12909,2022,11,Momo,Bangalore,64,7659.55
Jan Shatabdi Express,12909,2023,3,Thukpa,Amritsar,24,4926.65
Sampark Kranti,22119,2022,5,Aam Panna,Nagpur,94,567.12
Humsafar Express,82355,2021,2,Falooda,Kochi,24,1660.21
Tejas Express,12909,2022,3,Jalebi,Bhopal,32,1400.34
Humsafar Express,12917,2023,4,Lemonade,Kolkata,75,1819.46
Vande Bharat Express,22119,2021,6,Samosa,Kochi,55,264.39
Shatabdi Express,82355,2022,5,Kachori,Pune,18,8431.8
Tejas Express,12917,2021,10,Chilled Water,Kochi,75,5557.95
Jan Shatabdi Express,12917,2021,4,Shikanji,Raipur,75,3854.2
Jan Shatabdi Express,12917,2022,2,Vada Pav,Pune,27,4110.52
Sampark Kranti,22439,2022,12,Lassi,Chandigarh,26,4626.2
Vande Bharat Express,12201,2023,11,Bhutta,Chandigarh,81,877.27
Garib Rath,12201,2023,5,Tea,Mumbai,43,2809.95
Vande Bharat Express,22119,2021,5,Falooda,Nagpur,78,8363.65
Shatabdi Express,12917,2023,11,Thukpa,Mumbai,73,7324.53
Humsafar Express,12301,2021,7,Thukpa,Bhopal,53,5589.3
Jan Shatabdi Express,12001,2021,1,Thukpa,Shimla,38,4793.23
Humsafar Express,82355,2023,4,Coffee,Shimla,71,2658.9
Humsafar Express,12201,2023,11,Ice Cream,Kolkata,25,4702.28
Humsafar Express,12909,2023,5,Coffee,Kolkata,87,5920.9
Jan Shatabdi Express,22119,2022,8,Tea,Raipur,61,7025.78
Rajdhani Express,82355,2021,12,Vada Pav,Kochi,11,1770.12
Duronto Express,22119,2021,12,Jalebi,Pune,70,7992.9
Shatabdi Express,12301,2021,8,Lassi,Ahmedabad,13,3494.78
Rajdhani Express,22439,2023,1,Lemonade,Pune,61,5010.33
Shatabdi Express,22439,2023,5,Coffee,Kolkata,50,6017.63
Tejas Express,12917,2023,10,Tea,Ahmedabad,61,4864.38
Vande Bharat Express,22439,2023,1,Aam Panna,Shimla,40,5671.61
Vande Bharat Express,22119,2023,1,Aam Panna,Bhubaneswar,35,1239.58
Suvidha Express,12909,2022,2,Shikanji,Shimla,36,4325.91
Vande Bharat Express,12917,2023,2,Coffee,Ahmedabad,60,2865.8
Jan Shatabdi Express,12595,2021,9,Pakora,Pune,57,994.15
Garib Rath,82355,2023,4,Bhutta,Amritsar,20,2010.85
Sampark Kranti,12301,2021,3,Momo,Bhopal,17,5965.08
Suvidha Express,12917,2023,11,Sugarcane Juice,Nagpur,21,2059.34
Sampark Kranti,22119,2023,1,Shikanji,Kochi,54,1908.96
Shatabdi Express,82355,2021,12,Sugarcane Juice,Pune,43,5487.5
Sampark Kranti,12909,2021,2,Ice Cream,Kolkata,86,8874.55
Sampark Kranti,12051,2021,6,Bhajji,Guwahati,100,7757.86
Suvidha Express,12301,2021,9,Momo,Nagpur,81,8878.27
Tejas Express,22119,2022,5,Momo,Shimla,56,5777.72
Humsafar Express,12301,2021,4,Jalebi,Chandigarh,30,4111.97
Vande Bharat Express,12201,2023,5,Coconut Water,Shimla,50,7189.45
Vande Bharat Express,12051,2023,9,Coconut Water,Guwahati,84,2681.91
Jan Shatabdi Express,82355,2022,12,Shikanji,Bhopal,31,917.41
Suvidha Express,22439,2021,7,Jalebi,Nagpur,30,3483.27
Jan Shatabdi Express,22119,2023,8,Lassi,Bhopal,37,3046.47
Garib Rath,12301,2022,4,Coffee,Amritsar,76,6668.67
Garib Rath,82355,2023,11,Bhajji,Nagpur,80,5473.38
Jan Shatabdi Express,22439,2022,8,Lassi,Shimla,23,1496.97
Suvidha Express,12909,2022,6,Sugarcane Juice,Raipur,88,8911.14
Jan Shatabdi Express,12909,2021,5,Bhajji,Shimla,82,5877.43
Vande Bharat Express,12301,2022,12,Shikanji,Bhubaneswar,61,4571.65
Rajdhani Express,12917,2023,7,Coconut Water,Ahmedabad,52,9187.31
Duronto Express,12201,2023,6,Falooda,Shimla,80,1102.69
Sampark Kranti,12917,2021,3,Coconut Water,Kochi,85,7766.53
Duronto Express,12201,2021,5,Chilled Water,Shimla,28,3676.27
Suvidha Express,22119,2022,9,Falooda,Kolkata,36,6859.75
Duronto Express,12595,2021,7,Coconut Water,Bangalore,27,9125.04
Garib Rath,12301,2023,12,Coffee,Raipur,22,5149.47
Shatabdi Express,12001,2023,4,Coconut Water,Chennai,10,384
Sampark Kranti,12301,2021,7,Juice,Kochi,94,443.77
Humsafar Express,12051,2021,5,Momo,Ahmedabad,43,3347.99
Suvidha Express,22439,2021,11,Thukpa,Shimla,22,7690.15
Sampark Kranti,12051,2022,2,Bhutta,Ahmedabad,60,2940.82
Duronto Express,12909,2022,6,Kachori,Shimla,96,3385.6
Garib Rath,12201,2023,7,Shikanji,Bangalore,10,7717.13
Tejas Express,22439,2022,8,Kachori,Bhubaneswar,96,1284.49
Rajdhani Express,12909,2022,6,Shikanji,Pune,37,8317.32
Humsafar Express,22439,2022,8,Pakora,Ahmedabad,41,2724.54
Rajdhani Express,12917,2022,7,Jalebi,Raipur,81,659.14
Sampark Kranti,12909,2023,2,Coffee,Guwahati,64,1295.6
Garib Rath,12917,2021,6,Ice Cream,Bhubaneswar,35,9335.16
Garib Rath,12917,2023,9,Lemonade,Ahmedabad,23,4510.43
Duronto Express,22439,2022,12,Thukpa,Chandigarh,97,2634.5
Vande Bharat Express,82355,2021,6,Jalebi,Kolkata,77,5183.72
Duronto Express,12051,2021,4,Hot Chocolate,Kochi,72,6734.2
Vande Bharat Express,12909,2021,7,Kachori,Chennai,91,3234.76
Vande Bharat Express,12001,2023,3,Shikanji,Guwahati,23,7147.38
Humsafar Express,82355,2021,5,Bhutta,Guwahati,36,2594.2
Duronto Express,12051,2023,1,Kachori,Raipur,50,1247.41
Tejas Express,12909,2023,10,Shikanji,Chennai,12,5457.45
Jan Shatabdi Express,12201,2022,3,Pakora,Amritsar,68,1620.72
Jan Shatabdi Express,12051,2022,8,Chilled Water,Ahmedabad,32,9218.98
Duronto Express,12001,2021,9,Kachori,Nagpur,27,170.4
Duronto Express,12301,2021,9,Samosa,Raipur,83,7440.24
Rajdhani Express,22119,2022,10,Hot Chocolate,Amritsar,85,2856.23
Humsafar Express,12917,2023,2,Samosa,Guwahati,50,8310.33
Duronto Express,22119,2023,4,Jalebi,Raipur,17,745.08
Rajdhani Express,82355,2022,5,Chai,Guwahati,41,9339.45
Vande Bharat Express,12301,2023,3,Lassi,Kochi,90,1142.08
Garib Rath,12917,2022,11,Chilled Water,Raipur,50,7750.07
Garib Rath,12909,2022,1,Falooda,Pune,54,5145.9
Vande Bharat Express,82355,2021,6,Jalebi,Bangalore,87,4308.97
Suvidha Express,12001,2021,10,Kachori,Chandigarh,18,2862.8
Rajdhani Express,22439,2022,2,Tea,Amritsar,99,8264.92
Rajdhani Express,12909,2021,9,Coffee,Chennai,57,2088.84
Vande Bharat Express,12051,2022,1,Vada Pav,Ahmedabad,33,7108.59
Tejas Express,22439,2023,11,Lassi,Bhopal,96,4457.17
Shatabdi Express,82355,2023,9,Samosa,Bhopal,53,9777.37
Sampark Kranti,12051,2023,7,Falooda,Nagpur,67,6051.27
Vande Bharat Express,12001,2023,11,Samosa,Guwahati,75,1168.99
Duronto Express,22119,2022,10,Lassi,Guwahati,27,4204.3
Duronto Express,12051,2023,2,Juice,Bangalore,89,804.26
Humsafar Express,22119,2023,6,Coconut Water,Guwahati,38,2915.74
Vande Bharat Express,12917,2023,8,Jalebi,Bhopal,84,3470.77
Humsafar Express,12201,2023,2,Lemonade,Bhubaneswar,11,8378.57
Vande Bharat Express,12595,2022,5,Momo,Chennai,87,8232.36
Rajdhani Express,12909,2023,12,Chai,Shimla,77,277.33
Sampark Kranti,12595,2021,11,Vada Pav,Nagpur,48,5289.68
Rajdhani Express,12917,2021,6,Soup,Bangalore,82,2317.86
Shatabdi Express,12051,2021,3,Samosa,Chandigarh,50,3247.23
Garib Rath,12917,2021,12,Juice,Pune,80,374.49
Jan Shatabdi Express,12595,2021,2,Vada Pav,Bhopal,90,7382.97
Vande Bharat Express,12595,2021,11,Shikanji,Mumbai,96,9316.25
Shatabdi Express,12909,2022,6,Bhutta,Kochi,84,2276.7
Garib Rath,22439,2021,3,Ice Cream,Bangalore,31,3455.91
Suvidha Express,12301,2023,2,Tea,Bangalore,91,2153.17
Sampark Kranti,12917,2021,1,Lemonade,Amritsar,58,9118.52
Humsafar Express,12201,2022,8,Momo,Amritsar,37,256.14
Humsafar Express,12301,2021,1,Hot Chocolate,Bhopal,25,5786.21
Rajdhani Express,12917,2023,12,Hot Chocolate,Nagpur,77,8547.86
Duronto Express,12001,2023,5,Soup,Kochi,71,1959.43
Garib Rath,82355,2022,11,Bhutta,Raipur,45,5845.24
Suvidha Express,82355,2022,6,Pakora,Chennai,31,653.61
Shatabdi Express,12595,2022,11,Pakora,Chennai,20,8007.1
Sampark Kranti,82355,2022,12,Falooda,Guwahati,94,2807.67
Garib Rath,22119,2021,12,Momo,Mumbai,89,9683.6
Suvidha Express,12201,2021,3,Coffee,Bhubaneswar,51,9041.14
Jan Shatabdi Express,82355,2023,7,Bhutta,Kolkata,64,7217.12
Vande Bharat Express,12051,2022,2,Samosa,Bhopal,82,4948.58
Humsafar Express,22119,2022,7,Aam Panna,Amritsar,44,7545.1
Shatabdi Express,12301,2021,2,Jhalmuri,Nagpur,66,1423.29
Humsafar Express,22119,2022,5,Bhutta,Raipur,43,3151.99
Shatabdi Express,12917,2023,7,Chai,Kochi,82,424.98
Rajdhani Express,12595,2023,11,Lemonade,Amritsar,86,6374.95
Duronto Express,12909,2022,11,Samosa,Pune,79,7920.01
Shatabdi Express,12909,2023,3,Samosa,Nagpur,13,9274.82
Humsafar Express,12001,2023,11,Coffee,Kolkata,55,6774.25
Rajdhani Express,12201,2021,4,Chai,Chennai,20,7213.03
Shatabdi Express,12917,2023,1,Vada Pav,Nagpur,70,8785.54
Jan Shatabdi Express,12909,2022,3,Vada Pav,Shimla,44,9179.45
Duronto Express,12595,2022,9,Bhutta,Pune,78,4895.2
Shatabdi Express,12301,2023,10,Jalebi,Chennai,66,1222.87
Rajdhani Express,12909,2022,5,Ice Cream,Pune,20,4655.71
Garib Rath,12051,2021,8,Momo,Raipur,21,5518.72
Tejas Express,22119,2023,2,Vada Pav,Chennai,52,6245.19
Suvidha Express,12909,2023,3,Lemonade,Mumbai,28,9688.72
Tejas Express,12917,2023,7,Shikanji,Chennai,86,8998.34
Tejas Express,82355,2022,10,Jalebi,Pune,77,3981.39
Sampark Kranti,82355,2022,4,Coffee,Amritsar,87,1258.16
Jan Shatabdi Express,12301,2023,9,Soup,Ahmedabad,68,2233.62
Garib Rath,82355,2022,7,Juice,Chennai,11,1839.04
Vande Bharat Express,12301,2022,11,Ice Cream,Amritsar,17,3592.98
Shatabdi Express,12917,2023,12,Kachori,Kochi,31,8602.97
Suvidha Express,12201,2023,1,Falooda,Kochi,86,4381.87
Duronto Express,82355,2022,4,Momo,Kochi,30,5626.57
Garib Rath,12001,2023,10,Samosa,Bhubaneswar,94,1890.7
Humsafar Express,12595,2023,11,Bhajji,Bangalore,38,4910.13
Vande Bharat Express,22119,2023,6,Ice Cream,Bhopal,95,8575.43
Sampark Kranti,82355,2023,6,Pakora,Amritsar,99,7611.27
Sampark Kranti,12301,2022,10,Lassi,Bhopal,84,947.6
Garib Rath,12917,2023,6,Soup,Bhopal,84,8464.2
Rajdhani Express,82355,2021,5,Juice,Ahmedabad,92,2801.89
Tejas Express,12909,2023,3,Chilled Water,Kochi,46,6574.12
Humsafar Express,82355,2021,2,Soup,Guwahati,87,1575.13
Sampark Kranti,12301,2023,3,Coconut Water,Bhopal,38,6660.06
Suvidha Express,12051,2021,9,Momo,Shimla,92,509.73
Sampark Kranti,12051,2021,3,Tea,Kolkata,46,5947.75
Duronto Express,82355,2023,3,Momo,Kolkata,30,6383.76
Shatabdi Express,22119,2023,1,Coconut Water,Amritsar,97,2519.55
Sampark Kranti,12917,2023,2,Jalebi,Raipur,99,9185.21
Duronto Express,12001,2021,11,Coffee,Raipur,21,608.6
Garib Rath,12001,2022,12,Bhutta,Nagpur,57,8749.48
Garib Rath,82355,2022,3,Pakora,Shimla,92,3842.14
Vande Bharat Express,82355,2023,2,Bhajji,Bangalore,56,7038.07
Sampark Kranti,12051,2022,8,Chilled Water,Guwahati,24,6437.74
Suvidha Express,12301,2022,6,Juice,Chennai,76,1785.58
Sampark Kranti,22119,2023,7,Shikanji,Amritsar,22,3236.7
Suvidha Express,82355,2021,1,Shikanji,Kochi,68,5264.6
Jan Shatabdi Express,12001,2023,6,Thukpa,Ahmedabad,82,8314.4
Vande Bharat Express,12917,2022,2,Lassi,Bangalore,22,9357.35
Jan Shatabdi Express,12201,2021,6,Coffee,Mumbai,89,364.24
Sampark Kranti,12909,2022,3,Jalebi,Amritsar,87,3559.73
Vande Bharat Express,82355,2021,7,Coconut Water,Mumbai,81,6597.49
Jan Shatabdi Express,12301,2022,3,Lassi,Pune,28,5245.89
Tejas Express,82355,2023,9,Thukpa,Chandigarh,66,9243.4
Sampark Kranti,12301,2022,3,Samosa,Chennai,41,329.42
Jan Shatabdi Express,22119,2022,7,Kachori,Kochi,96,4379.66
Tejas Express,12201,2021,12,Chai,Bangalore,30,6603.84
Tejas Express,12595,2022,4,Aam Panna,Mumbai,91,2260.49
Garib Rath,12917,2023,8,Soup,Raipur,23,7153.16
Sampark Kranti,12917,2023,2,Coconut Water,Chandigarh,89,947.97
Tejas Express,12301,2023,8,Bhajji,Raipur,33,4507.68
Garib Rath,12051,2021,9,Tea,Ahmedabad,58,6675.37
Jan Shatabdi Express,12301,2021,8,Coffee,Shimla,41,2733.83
Duronto Express,12051,2022,6,Kachori,Kochi,84,876.91
Sampark Kranti,22439,2022,10,Lemonade,Amritsar,20,9378.16
Vande Bharat Express,12001,2022,1,Tea,Mumbai,69,8962.34
Suvidha Express,12917,2021,7,Soup,Pune,77,9083.11
Suvidha Express,22119,2021,1,Bhutta,Bhopal,70,9584.93
Jan Shatabdi Express,12301,2022,7,Chilled Water,Kolkata,99,1943.94
Rajdhani Express,22119,2021,2,Momo,Chandigarh,14,1684.8
Rajdhani Express,12201,2021,8,Sugarcane Juice,Ahmedabad,45,495.42
Jan Shatabdi Express,22119,2023,2,Jhalmuri,Bhubaneswar,73,8750.57
Tejas Express,82355,2023,3,Bhutta,Mumbai,87,7412.01
Sampark Kranti,12001,2022,12,Lassi,Amritsar,41,6261.72
Suvidha Express,82355,2022,3,Jhalmuri,Ahmedabad,80,9095.69
Suvidha Express,12909,2023,1,Juice,Chennai,83,5701.64
Tejas Express,12301,2021,5,Aam Panna,Pune,75,1414.84
Suvidha Express,12917,2022,5,Vada Pav,Raipur,19,1868.54
Vande Bharat Express,12301,2022,10,Juice,Nagpur,30,1438.45
Sampark Kranti,12001,2022,5,Coffee,Chandigarh,49,3127.53
Shatabdi Express,12595,2021,9,Falooda,Bangalore,51,3819.03
Suvidha Express,12595,2023,6,Thukpa,Shimla,81,7836.28
Jan Shatabdi Express,12909,2022,6,Ice Cream,Bangalore,55,2007.05
Vande Bharat Express,12001,2023,3,Bhutta,Amritsar,91,7148.29
Suvidha Express,22439,2023,5,Hot Chocolate,Shimla,82,4894.54
Vande Bharat Express,22439,2021,10,Vada Pav,Mumbai,50,9788.59
Garib Rath,22439,2021,7,Coffee,Bhopal,13,7641.29
Shatabdi Express,12917,2021,3,Hot Chocolate,Bhopal,23,9493.01
Humsafar Express,12917,2021,2,Momo,Amritsar,23,3461.48
Jan Shatabdi Express,22439,2021,5,Thukpa,Chennai,62,1350.53
Jan Shatabdi Express,12595,2021,3,Samosa,Bangalore,93,5035.72
Sampark Kranti,12001,2022,5,Aam Panna,Chandigarh,38,1361.98
Vande Bharat Express,22119,2023,9,Hot Chocolate,Bhubaneswar,32,4906.31
Tejas Express,12001,2021,11,Hot Chocolate,Kolkata,94,2764.47
Jan Shatabdi Express,22439,2022,10,Coffee,Bhopal,40,4892.79
Vande Bharat Express,12001,2023,1,Bhutta,Bangalore,80,9307.07
Vande Bharat Express,12201,2021,4,Tea,Amritsar,86,2948.26
Duronto Express,12917,2021,10,Momo,Nagpur,70,9728.66
Duronto Express,12917,2022,5,Soup,Chandigarh,32,2373.56
Humsafar Express,12595,2023,2,Lemonade,Kolkata,17,2169.29
Garib Rath,22119,2021,12,Pakora,Nagpur,85,5410.09
Humsafar Express,22439,2023,2,Juice,Bangalore,25,8271.42
Suvidha Express,12301,2022,1,Vada Pav,Pune,35,7380.64
Tejas Express,12595,2021,8,Momo,Mumbai,38,7130.69
Suvidha Express,12595,2023,2,Shikanji,Guwahati,15,2886.64
Rajdhani Express,22119,2022,3,Samosa,Guwahati,46,382.82
Suvidha Express,82355,2022,12,Jalebi,Amritsar,42,1723.03
Sampark Kranti,22439,2021,2,Bhutta,Chennai,55,3530.03
Suvidha Express,12301,2023,4,Chilled Water,Amritsar,70,9519.29
Humsafar Express,12917,2021,1,Coconut Water,Chennai,50,9019.66
Jan Shatabdi Express,22119,2021,3,Chilled Water,Amritsar,27,2097.44
Jan Shatabdi Express,12301,2023,5,Samosa,Shimla,25,7150.76
Duronto Express,12201,2023,10,Pakora,Kolkata,60,5739.57
Tejas Express,12595,2023,1,Kachori,Nagpur,46,645.85
Tejas Express,22119,2022,4,Chilled Water,Bangalore,23,3744.04
Sampark Kranti,12917,2022,6,Jhalmuri,Pune,77,4844.92
Humsafar Express,12001,2023,4,Hot Chocolate,Bangalore,39,6592
Duronto Express,12917,2022,7,Sugarcane Juice,Mumbai,69,3004.77
Rajdhani Express,12201,2021,7,Chai,Ahmedabad,62,9154.81
Tejas Express,22119,2023,6,Falooda,Chennai,45,4515.77
Jan Shatabdi Express,12201,2021,9,Chai,Ahmedabad,39,2558.37
Suvidha Express,22439,2023,2,Chai,Ahmedabad,73,3211.95
Suvidha Express,22439,2021,10,Lemonade,Mumbai,23,7403.56
Duronto Express,12001,2023,8,Shikanji,Ahmedabad,32,6329.33
Humsafar Express,12595,2021,8,Shikanji,Ahmedabad,57,7310.12
Humsafar Express,82355,2023,11,Chilled Water,Mumbai,37,2980.1
Garib Rath,12051,2023,10,Coconut Water,Pune,16,3312.25
Shatabdi Express,12301,2022,11,Ice Cream,Shimla,51,3984.81
Tejas Express,12201,2021,4,Kachori,Bhopal,19,1981.43
Humsafar Express,12301,2022,6,Kachori,Ahmedabad,77,6817.92
Jan Shatabdi Express,12001,2021,11,Juice,Chennai,53,3336.33
Duronto Express,12301,2022,6,Samosa,Mumbai,22,3306.36
Rajdhani Express,12301,2023,5,Vada Pav,Chandigarh,94,2758.93
Garib Rath,12917,2022,1,Jhalmuri,Raipur,42,4524.9
Vande Bharat Express,22119,2022,3,Lassi,Ahmedabad,96,7596.95
Sampark Kranti,12595,2023,7,Tea,Bhopal,41,8209.47
Rajdhani Express,12051,2022,8,Lassi,Pune,57,7910.1
Vande Bharat Express,22119,2023,2,Soup,Pune,14,6145.55
Suvidha Express,12917,2021,3,Kachori,Bhubaneswar,70,2865.41
Sampark Kranti,12301,2022,4,Coconut Water,Chennai,99,7239.63
Tejas Express,12051,2023,11,Coconut Water,Kochi,99,544.97
Jan Shatabdi Express,12917,2023,5,Pakora,Chennai,12,7848.92
Sampark Kranti,12917,2022,3,Lemonade,Nagpur,33,7676.38
Shatabdi Express,12917,2021,5,Coconut Water,Chandigarh,43,6615.36
Vande Bharat Express,22439,2022,8,Jalebi,Pune,93,1108.69
Tejas Express,12051,2023,8,Ice Cream,Shimla,51,9766.27
Shatabdi Express,12917,2021,2,Sugarcane Juice,Pune,29,7447.11
Suvidha Express,82355,2022,6,Ice Cream,Guwahati,50,7239.17
Shatabdi Express,12301,2023,4,Ice Cream,Bangalore,91,782.21
Garib Rath,12051,2022,9,Ice Cream,Amritsar,29,4003.93
Garib Rath,22439,2021,10,Chai,Nagpur,15,995.56
Duronto Express,12201,2021,2,Samosa,Bhubaneswar,66,3641.34
Rajdhani Express,12201,2021,8,Sugarcane Juice,Mumbai,51,5657.45
Rajdhani Express,12595,2021,1,Jhalmuri,Shimla,34,8625.91
Tejas Express,12909,2021,11,Coconut Water,Mumbai,50,2889.58
Suvidha Express,82355,2022,6,Lassi,Bangalore,50,6166.93
Humsafar Express,12201,2021,11,Falooda,Shimla,12,1750.98
Garib Rath,22439,2021,11,Aam Panna,Shimla,52,3573.26
Tejas Express,12909,2023,12,Juice,Kolkata,55,9283.98
Humsafar Express,12917,2021,10,Bhutta,Kolkata,66,7362.71
Rajdhani Express,12917,2023,1,Sugarcane Juice,Bhubaneswar,92,5419.89
Duronto Express,12001,2023,2,Falooda,Amritsar,83,2588.86
Shatabdi Express,12301,2023,3,Lemonade,Bangalore,60,3821.04
Garib Rath,12909,2022,9,Bhutta,Shimla,14,1674.38
Tejas Express,12301,2022,5,Soup,Mumbai,95,3568.48
Sampark Kranti,22439,2023,10,Kachori,Shimla,82,1616.04
Humsafar Express,82355,2022,10,Aam Panna,Chennai,24,7821.53
Shatabdi Express,12909,2021,12,Coffee,Chandigarh,97,943.45
Garib Rath,12201,2022,2,Samosa,Bhubaneswar,48,1989.26
Rajdhani Express,82355,2021,10,Hot Chocolate,Bhopal,79,6819.1
Suvidha Express,12001,2021,5,Momo,Guwahati,88,8853.51
Humsafar Express,12301,2022,5,Chilled Water,Chandigarh,47,9451.03
Rajdhani Express,12301,2022,1,Lassi,Bangalore,48,8213.45
Garib Rath,82355,2023,3,Soup,Mumbai,61,2201.66
Humsafar Express,12917,2022,5,Jalebi,Kolkata,95,2916.27
Shatabdi Express,12301,2022,9,Bhutta,Bhubaneswar,12,8547.75
Garib Rath,12001,2022,10,Shikanji,Amritsar,38,8726.6
Vande Bharat Express,12201,2021,1,Sugarcane Juice,Mumbai,40,6332.87
Tejas Express,12051,2021,8,Soup,Amritsar,75,3185.12
Shatabdi Express,12201,2021,1,Coffee,Kolkata,54,2322.8
Humsafar Express,12201,2023,9,Soup,Raipur,82,8369.97
Suvidha Express,12301,2023,6,Vada Pav,Chandigarh,31,2141.82
Rajdhani Express,22119,2023,1,Chai,Nagpur,92,6536.46
Sampark Kranti,12917,2021,8,Vada Pav,Shimla,19,9483.39
Rajdhani Express,12301,2022,5,Jalebi,Chennai,30,6955.06
Humsafar Express,12917,2023,7,Momo,Shimla,26,2646.36
Rajdhani Express,22439,2023,7,Jhalmuri,Chandigarh,76,2885.42
Tejas Express,22119,2021,7,Coconut Water,Chennai,16,1060.26
Garib Rath,12301,2023,6,Vada Pav,Ahmedabad,45,6771.65
Sampark Kranti,12595,2022,11,Chilled Water,Chandigarh,76,5156.43
Jan Shatabdi Express,12201,2021,8,Coffee,Kochi,86,2153.53
Humsafar Express,22439,2021,9,Kachori,Kochi,39,2357.56
Duronto Express,22119,2022,12,Coconut Water,Raipur,96,252.95
Jan Shatabdi Express,12301,2022,2,Vada Pav,Chennai,80,9584.13
Rajdhani Express,12001,2022,7,Bhajji,Bhubaneswar,38,8136.4
Humsafar Express,82355,2023,2,Sugarcane Juice,Bhubaneswar,81,3960.27
Vande Bharat Express,82355,2022,6,Tea,Shimla,83,9272.93
Duronto Express,12917,2021,2,Bhutta,Ahmedabad,42,6683.89
Sampark Kranti,22119,2022,10,Samosa,Shimla,68,7399.49
Suvidha Express,12201,2021,6,Chai,Chennai,29,6711.18
Vande Bharat Express,12201,2021,2,Bhutta,Shimla,38,7451.34
Jan Shatabdi Express,12051,2023,1,Aam Panna,Bangalore,62,1811.5
Garib Rath,82355,2022,7,Kachori,Kochi,94,5579.6
Tejas Express,22439,2023,3,Falooda,Raipur,10,8341.99
Suvidha Express,22119,2022,12,Pakora,Bhubaneswar,43,354.19
Vande Bharat Express,12201,2022,4,Sugarcane Juice,Mumbai,53,1354.31
Garib Rath,12051,2022,6,Samosa,Pune,23,2530.55
Garib Rath,22119,2022,5,Jhalmuri,Chennai,46,3003.05
Humsafar Express,12909,2022,4,Lassi,Amritsar,44,1924.75
Vande Bharat Express,12201,2021,9,Chai,Chennai,68,6175.75
Sampark Kranti,12909,2021,6,Chilled Water,Pune,33,2996.24
Rajdhani Express,22119,2022,6,Soup,Guwahati,74,1687.91
Duronto Express,12201,2021,2,Jalebi,Bhopal,15,8885.36
Duronto Express,12909,2023,6,Chilled Water,Shimla,77,6856.33
Jan Shatabdi Express,12595,2023,7,Jalebi,Bhopal,47,2534.59
Jan Shatabdi Express,12051,2023,8,Vada Pav,Kolkata,10,3640.54
Duronto Express,22439,2022,8,Jalebi,Amritsar,50,7296.72
Sampark Kranti,82355,2022,9,Aam Panna,Shimla,40,7779.21
Tejas Express,12051,2021,10,Falooda,Ahmedabad,45,1864.42
Shatabdi Express,12909,2021,11,Soup,Bhubaneswar,82,9181.36
Rajdhani Express,12201,2021,12,Bhutta,Kochi,63,7724.93
Tejas Express,12595,2023,3,Lassi,Kochi,96,8413.59
Humsafar Express,12595,2023,10,Lemonade,Raipur,40,1550.83
Shatabdi Express,82355,2023,7,Chilled Water,Bhopal,38,1546.1
Shatabdi Express,12595,2023,7,Soup,Chennai,94,3105.49
Vande Bharat Express,12051,2021,1,Pakora,Pune,12,788.35
Sampark Kranti,12301,2022,8,Juice,Chennai,67,1042.67
Sampark Kranti,12595,2022,4,Lassi,Kochi,99,1544.56
Shatabdi Express,82355,2023,5,Jhalmuri,Ahmedabad,70,7023.77
Vande Bharat Express,12595,2022,6,Lassi,Amritsar,15,457.07
Rajdhani Express,12595,2022,3,Jalebi,Pune,29,967.38
Shatabdi Express,12001,2022,5,Sugarcane Juice,Nagpur,70,9254.58
Suvidha Express,12051,2023,10,Chai,Raipur,55,971.34
Jan Shatabdi Express,12909,2021,5,Vada Pav,Bangalore,22,5339.57
Jan Shatabdi Express,12917,2021,1,Jhalmuri,Guwahati,32,6351.35
Tejas Express,12301,2022,3,Soup,Kochi,88,9393.29
Humsafar Express,12595,2021,3,Momo,Kolkata,40,8827.38
Jan Shatabdi Express,22439,2021,1,Jhalmuri,Nagpur,13,4408
Garib Rath,12595,2023,7,Tea,Bhubaneswar,84,9235.14
Tejas Express,12001,2023,1,Jhalmuri,Raipur,75,4326.98
Jan Shatabdi Express,12909,2022,7,Kachori,Kochi,25,6614.57
Humsafar Express,22439,2022,4,Momo,Guwahati,40,2665.01
Sampark Kranti,12301,2022,9,Jalebi,Bhopal,57,6294.28
Sampark Kranti,22439,2023,7,Aam Panna,Kochi,52,5346.57
Rajdhani Express,12051,2021,5,Pakora,Raipur,13,6007.3
Shatabdi Express,82355,2023,7,Juice,Raipur,71,6737.13
Suvidha Express,82355,2023,9,Ice Cream,Nagpur,57,1835.72
Sampark Kranti,12301,2021,10,Bhutta,Bangalore,37,3065.97
Vande Bharat Express,12909,2021,6,Kachori,Chennai,25,7252.98
Jan Shatabdi Express,82355,2022,1,Soup,Chandigarh,98,1743.01
Vande Bharat Express,22119,2021,6,Chilled Water,Bhopal,86,3479.66
Humsafar Express,12001,2021,1,Chai,Amritsar,78,6581.46
Sampark Kranti,12301,2021,12,Kachori,Nagpur,39,9191.7
Suvidha Express,12301,2021,4,Vada Pav,Pune,74,890.9
Humsafar Express,12917,2022,8,Thukpa,Kolkata,78,5138.38
Garib Rath,12917,2022,5,Lassi,Kolkata,23,954.48
Garib Rath,12051,2021,5,Aam Panna,Bhubaneswar,84,3815.52
Vande Bharat Express,12051,2021,10,Lemonade,Mumbai,43,1854.31
Shatabdi Express,12917,2022,11,Lemonade,Chandigarh,65,6417.43
Tejas Express,82355,2022,8,Jalebi,Bhubaneswar,38,7460.81
